index,match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_elo_start,loser_elo_start,winner_elo_end,loser_elo_end
1027,340,-1,Jeff Monson,1817,Rigan Machado,POINTS,,-1,-1,,99KG,M,SF,1999,1,1000.0,1000.0,1020.0,980.0
1026,35076,1119,Beatriz Mesquita,9271,Mayssa Bastos,POINTS,,3,0,,60KG,F,4F,2022,2,1000.0,1000.0,1020.0,980.0
1025,341,-1,Jeff Monson,481,Saulo Ribeiro,POINTS,,-1,-1,,99KG,M,F,1999,3,1020.0,1000.0,1038.85,981.15
1024,818,-1,A. Cacareco,559,Rodrigo Medeiros,SUB,Guillotine,-1,-1,,ABS,M,R2,2003,4,1000.0,1000.0,1023.0,977.0
1023,368,6438,Hayato Sakurai,6167,Ricco Rodriguez,SUB,Heel hook,-1,-1,,ABS,M,SF,1999,5,1000.0,1000.0,1023.0,977.0
1022,3304,1388,Gunnar Nelson,174,Bruno Frazatto,POINTS,,-1,-1,,ABS,M,R1,2011,6,1000.0,1000.0,1020.0,980.0
1021,2263,4302,David Avellan,477,Tarsis Humpreys,SUB,RNC,-1,-1,,88KG,M,4F,2009,7,1000.0,1000.0,1023.0,977.0
1020,2294,-1,Jeff Monson,481,Saulo Ribeiro,POINTS,,-1,-1,,+99KG,M,3RD,2009,8,1038.85,981.15,1055.56,964.44
1019,445,-1,Jeff Monson,559,Rodrigo Medeiros,POINTS,,2,0,,99KG,M,4F,2000,9,1055.56,977.0,1071.11,961.45
1018,550,-1,Sean Alvarez,9,Marcio Cruz,POINTS,,-1,-1,,+99KG,M,4F,2001,10,1000.0,1000.0,1020.0,980.0
1017,492,-1,Mark Kerr,232,Jose Mario Sperry,POINTS,,-1,-1,,ABS,M,SPF,2001,11,1000.0,1000.0,1020.0,980.0
1016,13909,-1,Kuba Witkowski,1023,Baret Yoshida,POINTS,,0,0,PEN,66KG,M,E1,2017,12,1000.0,1000.0,1020.0,980.0
1015,13948,-1,E. Karpinen,2444,Mackenzie Dern,POINTS,,4,2,,60KG,F,4F,2017,13,1000.0,1000.0,1020.0,980.0
1014,5011,-1,Oskar Piechota,410,Claudio Calasans,SUB,Choke,-1,-1,,88KG,M,R1,2013,14,1000.0,1000.0,1023.0,977.0
1013,4982,-1,Nicolas Renier,1023,Baret Yoshida,POINTS,,-1,-1,,66KG,M,R1,2013,15,1000.0,980.0,1018.85,961.15
1012,35011,4759,Mateusz Szczecinski,11771,William Tackett,SUB,Footlock,-1,-1,,77KG,M,R1,2022,16,1000.0,1000.0,1023.0,977.0
1011,35059,-1,John Hansen,733,Vinicius Magalhaes,POINTS,,-1,-1,,+99KG,M,R1,2022,17,1000.0,1000.0,1020.0,980.0
1010,1663,-1,A. Cacareco,477,Tarsis Humpreys,POINTS,,-1,-1,,ABS,M,4F,2007,18,1023.0,977.0,1040.37,959.63
1009,532,-1,Sanae Kikuta,481,Saulo Ribeiro,POINTS,,3,0,,88KG,M,F,2001,19,1000.0,964.44,1017.96,946.48
1008,1687,1583,Mike Fowler,481,Saulo Ribeiro,SUB,Toe hold,-1,-1,,77KG,M,4F,2007,20,1000.0,946.48,1019.48,927.0
1007,7938,-1,Rustam Chsiev,320,Romulo Barral,DECISION,,-1,-1,,88KG,M,3RD,2015,21,1000.0,1000.0,1017.0,983.0
