Fighter,Elo Rating
Gordon Ryan,1329.67
Andre Galvao,1279.42
Marcelo Garcia,1264.22
Rubens Charles,1256.34
Ricardo Arona,1245.74
Roger Gracie,1221.22
Marcus Almeida,1208.03
Royler Gracie,1207.25
Yuri Simoes,1203.66
Fabricio Werdum,1198.41
Braulio Estima,1198.11
Rafael Mendes,1188.97
Gabrielle Garcia,1177.27
Alexandre Ribeiro,1165.61
Pablo Popovitch,1155.28
Ronaldo Souza,1155.12
Kron Gracie,1148.2
Rany Yahya,1147.24
Jonathan Torres,1146.02
Kaynan Duarte,1143.96
Felipe Pena,1139.47
Jose Mario Sperry,1133.13
Dean Lister,1132.42
Rodolfo Vieira,1131.75
Demian Maia,1129.41
Keenan Cornelius,1125.81
Saulo Ribeiro,1119.23
Joao Assis,1115.75
Roberto Abreu,1115.27
Leonardo Vieira,1114.99
Augusto Mendes,1110.48
Craig Jones,1105.79
Mark Kerr,1104.83
Giancarlo Bodoni,1104.22
Jean Jacques Machado,1101.63
Kade Ruotolo,1100.84
Vinicius Magalhaes,1100.36
Nick Rodriguez,1095.13
Marcio Cruz,1094.88
Davi Ramos,1094.32
Vagner Rocha,1089.53
Renzo Gracie,1088.39
Paulo Miyao,1086.75
Marcio Feitosa,1085.84
Diogo Reis,1085.3
Amy Campo,1081.91
Ffion Davies,1081.74
Nicholas Meregali,1078.73
Orlando Sanchez,1075.34
Matheus Diniz,1074.66
Ricardo Liborio,1074.57
Alexandre de Freitas,1074.24
Claudio Calasans,1068.23
Ricardo Almeida,1067.17
Rodrigo Gracie,1065.55
Lucas Daniel Barbosa,1064.8
Rousimar Palhares,1062.86
David Terrell,1058.62
Roberto Traven,1058.05
Lucas Lepri,1056.62
Matt Serra,1052.3
Rafael Lovato Jr,1052.12
Diego Oliveira,1049.22
Justin Rader,1047.3
Antonio Schembri,1047.0
Jackson Sousa,1046.8
Gabriel Napao,1046.52
Gilbert Burns,1046.45
Bianca Basilio,1046.12
Dante Leon,1044.74
Jeff Glover,1043.81
Romulo Barral,1043.59
Otavio Sousa,1042.25
Gabriel Sousa,1042.07
Kennedy Maciel,1041.1
Mackenzie Dern,1040.74
Robson Moura,1040.35
Roosevelt Sousa,1039.99
Joao Gabriel Rocha,1037.04
Robert Drysdale,1035.67
Josh Hinger,1035.35
Micael Galvao,1033.12
Eddie Bravo,1033.09
Mark Robinson,1032.98
Brianna Ste-Marie,1031.05
Olav Einemo,1031.02
Eoghan OFlannagan,1030.21
Vinicius Ferreira,1029.91
Bianca Mesquita,1029.9
Jared Dopp,1029.6
Sean Alvarez,1029.34
Jessica Oliveira,1029.17
Leonardo Nogueira,1029.14
Ryan Hall,1028.59
Victor Hugo,1028.45
Tarsis Humpreys,1028.23
Eoghan Oflanagan,1026.27
Gary Tonon,1026.2
E. Karpinen,1026.19
Gregor Gracie,1025.47
Ana Carolina Vieira,1025.3
Matt Hughes,1023.56
Vitor Viana,1023.0
Mateusz Szczecinski,1023.0
Tim Spriggs,1022.51
Jorge Patino,1020.48
Rafaela Guedes,1019.4
Rolles Gracie,1019.14
Jake Shields,1018.98
Ricco Rodriguez,1018.83
Vitor Ribeiro,1017.94
Ruslam Chsiev,1017.0
Sergio Moraes,1016.8
Victor Honorio,1016.72
Victor Estima,1015.55
Baret Yoshida,1014.79
Sanae Kikuta,1014.58
Jeff Monson,1014.11
Tye Ruotolo,1013.32
Vitor Belfort,1012.47
Chael Sonnen,1012.13
Kuba Witkowski,1012.04
Joao Miyao,1011.5
AJ Agazarm,1011.15
Abdurakhman Bilarov,1010.73
John Hansen,1010.47
Beatriz Mesquita,1008.92
Mike Fowler,1006.0
Gabriel Arges,1005.89
Sam McNally,1005.21
Marcio Andre Barbosa Junior,1004.91
Kendall Reusing,1004.45
Mansher Khera,1004.34
Abraham Marte Messina,1003.93
Murilo Santana,1003.03
Matheus Gabriel Barros,1002.8
Sasha Savko,1002.76
Marcio Corleta,1002.46
Flavio Almeida,1002.32
Tito Ortiz,1001.98
Sasha Palvski,1001.97
Egan Inoue,1001.88
Edward Cummings,1001.34
Lucas Leite,1001.12
Cassio Francis,1001.11
Gabriel Rollo,1000.85
Paul Schreiner,999.41
Leonardo Santos,998.93
Richard Alarcon,998.67
Ricardo Vieira,998.5
Pablo Mantovani,997.59
Kyle Griffin,996.42
Marcelo Mafra,996.35
Max Gimenis,995.5
Mahamed Aly,995.12
Amaury Bitetti,995.1
Bruno Frazatto,995.01
Heikki Jussila,993.82
Kyle Boehm,993.56
Adam Wardzinski,993.55
DeAlonzio Jackson,993.26
Jeremy Skinner,993.01
Renato Forasieppi Canuto,992.82
Glover Teixeira,992.24
U. Zhakshylyk,991.93
Aaron Johnson,991.74
Luke Griffith,991.66
Rigan Machado,991.6
