index,match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_elo_start,loser_elo_start,winner_elo_end,loser_elo_end
590,145,727,Alexandre de Freitas,-1,Robin Gracie,SUB,Choke,-1,-1,,66KG,M,F,1998,1,1000.0,1000.0,1029.9,970.1
916,165,10579,Rodrigo Gracie,-1,Kareem Barkalev,POINTS,,-1,-1,,88KG,M,F,1998,2,1000.0,1000.0,1026.0,974.0
589,143,727,Alexandre de Freitas,5463,Marc,SUB,Armbar,-1,-1,,66KG,M,SF,1998,3,1029.9,1000.0,1055.13,974.77
588,140,727,Alexandre de Freitas,5463,Trevor Lally,SUB,Armbar,-1,-1,,66KG,M,4F,1998,4,1055.13,1000.0,1076.45,978.68
762,153,52,Renzo Gracie,-1,Frank Trigg,DECISION,,-1,-1,,77KG,M,R1,1998,5,1000.0,1000.0,1017.0,983.0
764,159,52,Renzo Gracie,-1,Fabiano Iha,POINTS,,3,0,,77KG,M,SF,1998,6,1017.0,1000.0,1039.83,977.17
905,161,52,Renzo Gracie,-1,Luis Brito,SUB,Guillotine,-1,-1,,77KG,M,F,1998,7,1039.83,1000.0,1066.32,973.51
763,157,52,Renzo Gracie,-1,Rodrigo Modrias,POINTS,,3,0,,77KG,M,4F,1998,8,1066.32,1000.0,1084.17,982.15
678,166,232,Jose Mario Sperry,-1,Muhammad Saleh,POINTS,,-1,-1,,99KG,M,R1,1998,9,1000.0,1000.0,1020.0,980.0
681,186,232,Jose Mario Sperry,-1,Oleg Taktarov,POINTS,,4,0,,ABS,M,4F,1998,10,1020.0,1000.0,1040.73,979.27
680,169,232,Jose Mario Sperry,-1,Renato Verissimo,SUB,Choke,-1,-1,,99KG,M,SF,1998,11,1040.73,1000.0,1065.11,975.62
679,168,232,Jose Mario Sperry,5463,Larry Parker,SUB,Armbar,-1,-1,,99KG,M,4F,1998,12,1065.11,1000.0,1085.72,979.39
682,187,232,Jose Mario Sperry,-1,Simon Siasi,SUB,Footlock,-1,-1,,ABS,M,SF,1998,13,1085.72,1000.0,1106.65,979.07
569,182,6167,Ricco Rodriguez,-1,Ricardo Moraes,POINTS,,5,0,,+99KG,M,4F,1998,14,1000.0,1000.0,1022.0,978.0
570,183,6167,Ricco Rodriguez,5463,Firas Nakdali,SUB,Armbar,-1,-1,,+99KG,M,SF,1998,15,1022.0,1000.0,1047.85,974.15
895,170,232,Jose Mario Sperry,-1,Ricardo Alves,POINTS,,5,0,,99KG,M,F,1998,16,1106.65,1000.0,1124.91,981.74
