match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_rating_start,loser_rating_start,winner_rating_end,loser_rating_end,winner_rd_end,loser_rd_end
145,727,Alexandre de Freitas,-1,Robin Gracie,SUB,Choke,-1,-1,,66KG,M,F,1998,1,1500.0,1500.0,2027.3416585198331,1177.0012896552544,227.73545515006185,290.31897786152086
165,10579,Rodrigo Gracie,-1,Kareem Barkalev,POINTS,,-1,-1,,88KG,M,F,1998,2,1500.0,1500.0,1990.8604625088492,1240.3025556012278,208.56036985587224,290.3189716264812
143,727,Alexandre de Freitas,5463,Marc,SUB,Armbar,-1,-1,,66KG,M,SF,1998,3,1500.0,1500.0,2027.3416585198331,1214.3328064487162,227.73545515006185,290.31897402116846
140,727,Alexandre de Freitas,5463,Trevor Lally,SUB,Armbar,-1,-1,,66KG,M,4F,1998,4,1500.0,1500.0,2027.3416585198331,1251.6643204639831,227.73545515006185,290.31897065013663
153,52,Renzo Gracie,-1,Frank Trigg,DECISION,,-1,-1,,77KG,M,R1,1998,5,1500.0,1500.0,1943.1146049807553,1386.3823752941346,208.5603593547873,290.3189624038993
159,52,Renzo Gracie,-1,Fabiano Iha,POINTS,,3,0,,77KG,M,SF,1998,6,1500.0,1500.0,1943.1146049807553,1272.7647403378485,208.5603593547873,290.3189689519404
161,52,Renzo Gracie,-1,Luis Brito,SUB,Guillotine,-1,-1,,77KG,M,F,1998,7,1500.0,1500.0,1943.1146049807553,1177.0012896552544,208.5603593547873,290.31897786152086
157,52,Renzo Gracie,-1,Rodrigo Modrias,POINTS,,3,0,,77KG,M,4F,1998,8,1500.0,1500.0,1943.1146049807553,1305.2269234041933,208.5603593547873,290.3189666307005
166,232,Jose Mario Sperry,-1,Muhammad Saleh,POINTS,,-1,-1,,99KG,M,R1,1998,9,1500.0,1500.0,2060.4925114048083,1337.6891050238826,181.34886511358567,290.3189646747521
186,232,Jose Mario Sperry,-1,Oleg Taktarov,POINTS,,4,0,,ABS,M,4F,1998,10,1500.0,1500.0,2060.4925114048083,1305.2269234041933,181.34886511358567,290.3189666307005
169,232,Jose Mario Sperry,-1,Renato Verissimo,SUB,Choke,-1,-1,,99KG,M,SF,1998,11,1500.0,1500.0,2060.4925114048083,1214.3328064487162,181.34886511358567,290.31897402116846
168,232,Jose Mario Sperry,5463,Larry Parker,SUB,Armbar,-1,-1,,99KG,M,4F,1998,12,1500.0,1500.0,2060.4925114048083,1251.6643204639831,181.34886511358567,290.31897065013663
187,232,Jose Mario Sperry,-1,Simon Siasi,SUB,Footlock,-1,-1,,ABS,M,SF,1998,13,1500.0,1500.0,2060.4925114048083,1214.3328064487162,181.34886511358567,290.31897402116846
182,6167,Ricco Rodriguez,-1,Ricardo Moraes,POINTS,,5,0,,+99KG,M,4F,1998,14,1500.0,1500.0,1990.8604625088492,1305.2269234041933,208.56036985587224,290.3189666307005
183,6167,Ricco Rodriguez,5463,Firas Nakdali,SUB,Armbar,-1,-1,,+99KG,M,SF,1998,15,1500.0,1500.0,1990.8604625088492,1214.3328064487162,208.56036985587224,290.31897402116846
170,232,Jose Mario Sperry,-1,Ricardo Alves,POINTS,,5,0,,99KG,M,F,1998,16,1500.0,1500.0,2060.4925114048083,1240.3025556012278,181.34886511358567,290.3189716264812
163,10579,Rodrigo Gracie,-1,Carlos Newton,POINTS,,6,0,,88KG,M,4F,1998,17,1500.0,1500.0,1990.8604625088492,1305.2269234041933,208.56036985587224,290.3189666307005
164,10579,Rodrigo Gracie,5463,Ahmad Faraj,SUB,Armbar,-1,-1,,88KG,M,SF,1998,18,1500.0,1500.0,1990.8604625088492,1214.3328064487162,208.56036985587224,290.31897402116846
162,10579,Rodrigo Gracie,-1,Adrian Serrano,SUB,Choke,-1,-1,,88KG,M,R1,1998,19,1500.0,1500.0,1990.8604625088492,1288.995832064887,208.56036985587224,290.3189677472295
185,6167,Ricco Rodriguez,-1,Sean Alvarez,POINTS,,3,0,,+99KG,M,F,1998,20,1500.0,1500.0,1990.8604625088492,1240.3025556012278,208.56036985587224,290.3189716264812
178,6167,Ricco Rodriguez,-1,Yousef Elzien,SUB,Headlock,-1,-1,,+99KG,M,R1,1998,21,1500.0,1500.0,1990.8604625088492,1288.995832064887,208.56036985587224,290.3189677472295
318,486,Amaury Bitetti,-1,Akira Shouji,POINTS,,5,0,,88KG,M,R1,1999,22,1500.0,1500.0,1390.0834542400453,1337.6891050238826,256.29639616059455,290.3189646747521
313,515,Royler Gracie,727,Alexandre de Freitas,SUB,Leg lock,-1,-1,,66KG,M,F,1999,23,1500.0,2027.3416585198331,2176.8209769312234,1966.3452261507261,218.952041516998,198.71363942871238
336,-1,Jeff Monson,1204,Roberto Traven,POINTS,,3,0,,99KG,M,4F,1999,24,1500.0,1500.0,1919.4762383180032,1835.6619796958653,227.73543317353315,181.34881047172047
