Fighter,Rating,RD
Gordon Ryan,2639.5501203668055,132.85
Ricardo Arona,2431.5317371805777,142.21
Royler Gracie,2380.821105660575,179.61
Rubens Charles,2340.809847504438,144.58
Rafael Mendes,2318.7957705026647,163.88
Marcelo Garcia,2256.026334058481,123.95
Roger Gracie,2234.6971273332924,134.0
Kaynan Duarte,2233.3205070602744,193.27
Gabrielle Garcia,2231.1647996001575,175.86
Amy Campo,2214.6961570789736,250.91
Marcus Almeida,2199.4768776247142,128.57
Andre Galvao,2141.9612922887127,98.37
Mark Kerr,2122.7909902413785,162.85
Yuri Simoes,2095.4970301532658,129.62
Demian Maia,2058.527375001343,179.36
Braulio Estima,2055.446064680079,116.49
Kade Ruotolo,2051.813316620328,199.35
Giancarlo Bodoni,2048.0030645569377,182.96
Jose Mario Sperry,2040.5649773413302,146.07
Jessica Oliveira,2039.603682227429,335.85
Ronaldo Souza,2036.7999317187214,128.67
Kron Gracie,2036.597143992627,165.88
Davi Ramos,2014.1041614880182,202.3
Joao Assis,1962.5817395754902,142.95
Rany Yahya,1956.1054170596833,134.69
Nick Rodriguez,1955.553806764767,154.22
Nicholas Meregali,1928.019041591096,160.27
Fabricio Werdum,1927.2486056144376,97.65
Mark Robinson,1924.1820975039964,285.35
E. Karpinen,1916.429348200932,304.8
Felipe Pena,1913.0217562608912,126.09
David Terrell,1910.6821112778334,208.28
Diogo Reis,1907.9334556649908,208.56
Eoghan OFlannagan,1906.3871347065258,290.75
Dean Lister,1883.7965609109638,114.22
Jean Jacques Machado,1881.959714526839,136.43
Rodolfo Vieira,1879.9018075388217,141.6
Matt Serra,1859.0816396229902,211.62
Orlando Sanchez,1853.1165308247894,148.28
Keenan Cornelius,1853.002442805803,138.81
Jonathan Torres,1839.6788191661954,125.87
Sanae Kikuta,1837.0661022258448,278.23
Rolles Gracie,1830.0733259279245,284.85
Renzo Gracie,1829.7686034436447,141.04
Bianca Mesquita,1822.9987103447456,290.32
Pablo Popovitch,1819.5291541080858,117.35
Antonio Schembri,1818.0136083961659,211.62
Alexandre Ribeiro,1809.9643458678083,81.82
Gabriel Napao,1809.6852299559982,195.6
Augusto Mendes,1809.3735721399992,136.08
Vinicius Magalhaes,1806.8568901282706,112.0
Matheus Diniz,1805.4928013139981,185.04
Roberto Abreu,1802.427874851431,99.54
Saulo Ribeiro,1788.5396905438736,99.54
Marcio Cruz,1788.0269404535795,120.89
Rousimar Palhares,1785.747191437883,187.05
Ffion Davies,1784.1805475708652,179.21
Diego Oliveira,1778.8250852465353,203.79
Alexandre de Freitas,1777.0989578116794,137.12
Gilbert Burns,1775.191088932358,211.27
Marcio Feitosa,1774.6113600087638,155.92
Leonardo Vieira,1770.753839957098,102.87
Rodrigo Gracie,1770.6535040277313,179.49
Paulo Miyao,1770.0587782541172,167.96
Sean Alvarez,1765.2509814795076,251.37
Robson Moura,1761.7938706425562,184.92
Vitor Belfort,1754.2372276099145,271.49
Robert Drysdale,1753.3798426995463,199.61
Matt Hughes,1752.7280781813843,279.63
Roosevelt Sousa,1751.6632846873513,232.95
Jackson Sousa,1749.4960668468527,192.14
Victor Hugo,1749.3542198283835,195.42
Ana Carolina Vieira,1748.3356795360169,290.32
Craig Jones,1744.5778147148114,130.74
Roberto Traven,1743.5671219987926,174.57
Eddie Bravo,1738.1714770323438,235.41
Lucas Daniel Barbosa,1737.3934835275056,167.39
Mackenzie Dern,1725.6313978630906,215.93
Eoghan Oflanagan,1725.1885401153008,275.91
Jeff Glover,1715.6801993766467,155.35
Ricardo Liborio,1713.8824518480728,146.98
Mateusz Szczecinski,1711.004167935113,290.32
Vitor Viana,1711.004167935113,290.32
Olav Einemo,1703.8240131740924,226.92
Ricardo Almeida,1702.5890453840236,120.14
Chael Sonnen,1699.7735442630421,251.69
Jared Dopp,1693.5446644610743,124.47
Brianna Ste-Marie,1685.1103261038413,218.06
Abdurakhman Bilarov,1681.0200942770734,260.03
Max Gimenis,1680.3591048679468,266.64
Vagner Rocha,1672.8106694120734,117.53
Claudio Calasans,1672.4830489342648,143.65
Jeff Monson,1670.7939246836204,120.91
Justin Rader,1669.3440015041137,168.31
Josh Hinger,1666.3797332650547,176.43
Gabriel Sousa,1665.0161510766006,208.56
Ryan Hall,1661.6918952144852,195.12
Baret Yoshida,1661.1317412373194,116.68
Jake Shields,1658.3844670369883,190.86
Gregor Gracie,1655.4342055327625,212.71
Victor Honorio,1643.7382275647094,217.42
Egan Inoue,1642.7151868989788,204.94
Otavio Sousa,1641.176722924025,174.37
Kennedy Maciel,1639.1865241823748,176.8
