Fighter,Peak Rating
Gordon Ryan,2639.5501203668055
Royler Gracie,2484.001719745356
Ricardo Arona,2431.5317371805777
Rafael Mendes,2378.0540577872716
Gabrielle Garcia,2370.073065729105
Rubens Charles,2340.809847504438
Marcelo Garcia,2288.0663622706984
Marcus Almeida,2258.285946774693
Roger Gracie,2234.6971273332924
Kaynan Duarte,2233.3205070602744
Mark Kerr,2223.926222912864
Amy Campo,2214.6961570789736
Andre Galvao,2182.2744947215624
Yuri Simoes,2157.2217278594444
Braulio Estima,2152.9950258855965
Jose Mario Sperry,2121.7018382490937
Ronaldo Souza,2121.296875751006
Felipe Pena,2106.508065352554
Renzo Gracie,2096.6626900782458
Orlando Sanchez,2067.4499109979865
Dean Lister,2063.1789031409266
Demian Maia,2058.527375001343
Pablo Popovitch,2056.074275500567
Joao Assis,2054.4480419605825
Kade Ruotolo,2051.813316620328
Jean Jacques Machado,2051.171041183553
Giancarlo Bodoni,2048.0030645569377
Jessica Oliveira,2039.603682227429
Kron Gracie,2036.597143992627
Alexandre de Freitas,2027.3416585198331
Vinicius Magalhaes,2016.5787092630212
Davi Ramos,2014.1041614880182
Rany Yahya,2005.2121455628558
Rodrigo Gracie,1990.8604625088492
Ricco Rodriguez,1990.8604625088492
Robson Moura,1981.3968385009257
Marcio Feitosa,1967.270252786469
Nick Rodriguez,1955.553806764767
Saulo Ribeiro,1945.4248660206251
Roberto Abreu,1937.4625963360263
Keenan Cornelius,1934.4630719854586
Matheus Diniz,1930.0421719407632
Nicholas Meregali,1928.019041591096
Fabricio Werdum,1927.2486056144376
Mark Robinson,1924.1820975039964
Vinicius Ferreira,1922.269477091212
Jeff Monson,1919.4762383180032
E. Karpinen,1916.429348200932
David Terrell,1910.6821112778334
Diogo Reis,1907.9334556649908
Eoghan OFlannagan,1906.3871347065258
Leonardo Vieira,1902.9775193191533
Robert Drysdale,1900.509496077454
Jonathan Torres,1894.0117331426127
Mackenzie Dern,1890.5123854854635
Rodolfo Vieira,1879.9018075388217
Marcio Cruz,1878.24898282279
Matt Serra,1859.0816396229902
Jackson Sousa,1844.0557089878826
Otavio Sousa,1842.6970269299647
Sanae Kikuta,1837.0661022258448
Roberto Traven,1835.6619796958653
Baret Yoshida,1835.5518014917268
Alexandre Ribeiro,1830.1027971957803
Rolles Gracie,1830.0733259279245
Bianca Mesquita,1822.9987103447456
Antonio Schembri,1818.0136083961659
Gabriel Napao,1809.6852299559982
Augusto Mendes,1809.3735721399992
Bianca Basilio,1806.9738942370502
Victor Hugo,1800.8029670981584
Jared Dopp,1799.2816740158096
Rousimar Palhares,1785.747191437883
Ffion Davies,1784.1805475708652
Diego Oliveira,1778.8250852465353
Gilbert Burns,1775.191088932358
Ricardo Almeida,1771.0059468831676
Paulo Miyao,1770.0587782541172
Sean Alvarez,1765.2509814795076
Jake Shields,1761.1032928263307
Vitor Belfort,1754.2372276099145
Jeff Glover,1753.053830573268
Matt Hughes,1752.7280781813843
Roosevelt Sousa,1751.6632846873513
Ana Carolina Vieira,1748.3356795360169
Craig Jones,1744.5778147148114
Eddie Bravo,1738.1714770323438
Lucas Daniel Barbosa,1737.3934835275056
Claudio Calasans,1730.2497288299442
Josh Hinger,1728.6772171762793
Sasha Savko,1727.2352596621515
Leonardo Santos,1725.9605944977498
Eoghan Oflanagan,1725.1885401153008
Ricardo Liborio,1724.6117335592753
Vitor Viana,1711.004167935113
Kamil Uminski,1711.004167935113
Mateusz Szczecinski,1711.004167935113
Olav Einemo,1703.8240131740924
Kennedy Maciel,1700.7023289928188
Chael Sonnen,1699.7735442630421
Romulo Barral,1687.8093610159244
Brianna Ste-Marie,1685.1103261038413
Abdurakhman Bilarov,1681.0200942770734
Max Gimenis,1680.3591048679468
Vagner Rocha,1672.8106694120734
Justin Rader,1669.3440015041137
Gabriel Sousa,1665.0161510766006
Lucas Lepri,1663.6879223059095
Ryan Hall,1661.6918952144852
Egan Inoue,1661.167292223104
Gregor Gracie,1655.4342055327625
Joao Gabriel Rocha,1651.4246241282017
Rustam Chsiev,1647.0976709520357
Victor Honorio,1643.7382275647094
Micael Galvao,1638.053047639648
Kuba Witkowski,1636.7217476575765
Tim Spriggs,1636.5774135040747
Glover Teixeira,1634.6098473924242
Beatriz Mesquita,1629.2591894147342
John Hansen,1623.8599035335687
Tarsis Humpreys,1623.3506688603943
David Avellan,1614.2043588738593
Ruslam Chsiev,1613.6176247058654
Mike Fowler,1605.0649940573512
Gianni Grippo,1600.92844989674
Rafaela Guedes,1599.875263513342
Rafael Lovato Jr,1599.6725619847148
Jorge Patino,1593.3872081123548
Dante Leon,1590.9488454723573
Sergio Moraes,1588.932305407537
AJ Agazarm,1588.6535516315375
Victor Estima,1583.741596486549
Lachlan Giles,1582.4624986318454
Marcio Andre Barbosa Junior,1576.602677659778
Marcio Corleta,1572.8912050612385
Tye Ruotolo,1572.463493441288
Sam McNally,1569.1364795428228
Murilo Santana,1564.7245614860735
Luke Griffith,1559.1474365516108
Leonardo Nogueira,1556.2200372754264
A. Cacareco,1556.0420791857905
Joao Miyao,1543.6291918862767
Gary Tonon,1542.368474237412
Mansher Khera,1535.3127645447244
Rida Haisam,1534.5766187792483
Vitor Ribeiro,1528.8212612365787
Abraham Marte Messina,1523.5777545802243
Keita Iwamoto,1519.7745158135604
Richard Alarcon,1517.8728052873764
Gabriel Arges,1516.0756739155402
Kendall Reusing,1516.0756739155402
Bruno Frazatto,1515.1092093081184
Sasha Palvski,1512.7128496545145
Nicolas Renier,1505.6074888553514
Matheus Gabriel Barros,1502.4831325456316
Pablo Mantovani,1500.8481542849486
Tito Ortiz,1500.0
Rigan Machado,1497.8438285768548
Amanda Santana,1495.2024822245169
Paulo Pinto,1494.877133346002
Khazmat Stambulov,1491.403261731688
Carlos Barreto,1490.3279184407515
U. Zhakshylyk,1488.650151542491
Joshua Cisneros,1487.2234321675007
Hayato Sakurai,1484.9503311921947
Paul Schreiner,1483.3120392047258
Cassio Francis,1478.7982596663317
Ana Carolina,1476.821211645062
Elder Cruz,1475.5696373905537
G. Sotiropoulos,1475.36230677494
Chris Brown,1474.2346569407143
Flavio Almeida,1474.1851415081037
Owen Livesey,1471.803742056746
Chris Brennan,1471.5908860444717
Ricardo Vieira,1471.5584230486213
Zbigniew Tyszka,1471.1950861697132
H. Sekine,1470.538714339523
Roman Dolidze,1470.1374504938965
Gabriel Rollo,1469.8144779804525
R. Mashurenko,1469.8100334279077
Josh Saunders,1466.8749325547842
Jeremy Skinner,1466.861828832642
Mateusz Juskowiak,1465.831835337799
Hector Lombard,1464.700566553676
Ross Nicholls,1462.7100628821402
Celso Vinicius,1462.148182550241
Ethan Crelinsten,1458.5127543374665
Kim Mason,1458.3524200555096
Genki Sudo,1458.3524188337674
Kareem Barkalev,1457.0902497273157
DeAlonzio Jackson,1456.9096343697652
Roberto Jimenez,1455.3898759000554
T. Yano,1455.1828240471568
Greger Forsel,1454.8547195292344
Edward Cummings,1454.8365534532736
Augusto Ferrari,1452.4461703575867
J. Urholin,1452.0442602040062
Doorwang Jeon,1451.9153794119409
Luke Costello,1450.2576386015849
Alexander Trans,1449.1941473885279
Rodrigo Dib,1448.983310023038
Sim Go,1448.3179492950962
Dan Martinez,1445.5502058899592
L. Papadopoulis,1443.2465735786989
Urija Faber,1441.0951902788524
Piotr Frechowicz,1440.9292965747156
Isaak Michel,1440.7824227839978
D. Marinakis,1440.0695788765063
Yuki Sasaki,1439.9521992961652
Kouji Kanechika,1438.2820120749554
Marcelo Mafra,1437.5396061626716
Geovanny Martinez,1437.0424278889418
Tom Bass,1436.417333769229
Kassim Anan,1436.417333769229
Anthony Perosh,1436.0241321003875
Hudson Taylor,1435.8698494522696
Sotaro Yamada,1435.46902369755
Kamil Huminski,1435.3167839307478
Mike Whitehead,1434.7540239846846
Yushin Okami,1434.6843668381605
Enrico Cocco,1434.5708167037371
Dennis Hallman,1433.8433610612292
Eduardo Telles,1433.5836582165316
Stefanie Egger,1430.7378264155973
Aaron Johnson,1430.0996127667017
Damon Ramos,1430.0618496195098
Kari Petola,1428.036597284873
Denis Roberts,1427.0454810433241
J. Wakabayashi,1426.8721689041495
Murilo Bustamante,1426.3738619919611
K. Hirate,1426.096041812564
Mahamed Aly,1425.3833474003297
Eric Dahlberg,1425.0203288579057
Rodrigo Medeiros,1423.0522792374586
Lucas Leite,1421.0859402931635
R. Babalu,1419.0277790819687
Dan Manasoiu,1417.8880645780255
T. Suzuki,1417.1416728241293
Liu Wen,1416.7313014992335
Kyle Boehm,1414.8336586206021
Kenta Iwamoto,1413.2387018101913
Renato Forasieppi Canuto,1410.5269548732535
James Puopolo,1408.3561975317202
Kyle Griffin,1408.1059770102509
Sasha Plavski,1407.2922424621306
Charles Pearson,1406.0853441128152
Oskar Piechota,1405.867429604825
Roberto Magalhaes,1405.8146331974856
Mason Fowler,1405.510474592829
Jon Blank,1405.423648848468
R. Anderson,1404.7649055902716
Martin Brown,1404.2134913297114
Y. Takahito,1403.509669347302
Jason Brudvik,1402.2534266993769
Heikki Jussila,1401.48081949861
Fabricio Andrey,1398.5009408767785
Rodney Ellis,1398.2076632909068
Ben Hodgkinson,1397.5222793831933
Adam Wardzinski,1397.3630033917902
Tezekbaev Rasul,1396.5252713948832
Mario Miranda,1395.9032048751403
George Sotiropoulos,1395.9032048751403
Elliot Marshal,1394.947043582035
Davis Heart,1393.2771744403647
Patrick Gaudio,1392.6228466425555
Marshurenko,1391.8850009621056
Marcio Cromado,1391.660300237059
Chris Weidman,1390.9968751739552
Garth Taylor,1390.4351044075943
T. Hirono,1390.390939036042
Nicky Ryan,1390.3347877515703
Israel Albuquerque,1390.2446874031548
Amaury Bitetti,1390.0834542400453
Andreas Olsen,1389.5403396436543
Marcos Oliveira,1389.0604715189004
Yuta Shimada,1388.8188082324211
Ilir Latifi,1388.6680867518357
Jia Jang,1387.7459088882767
Rodrigo Caporal,1386.9291564867278
Y. Kohsaka,1386.4677021926027
Serguei Onishuk,1386.4677021926027
Frank Trigg,1386.3823752941346
Hideki Shrek,1386.3823752941346
Jesse Urholin,1386.3823752941346
Valdir Araujo Junior,1386.3823752941346
Devhonte Johnson,1386.3823752941346
Cole Abate,1386.3823752941346
M. Perez,1386.2635281296205
Rocky Batastini,1386.1918468972335
Wang Yan,1385.7728807243495
D. Hemmings,1385.5033947158822
Kouhei Yasumi,1384.97421987321
Y. Kinishi,1384.618100815332
Tetsu Hadario,1383.9233793163205
Jason Lees,1382.5178253753595
P. Ardilla,1381.3544972229765
Tomasz Janiszewski,1381.140279238081
David Marinakis,1381.105812808948
Fan Yi,1381.0239710630503
Santeri Lilius,1380.3381441065999
Lee Hyoung,1378.9413674974514
Andy Reese,1376.353220897718
Tomasz Narkun,1376.2169948481167
A. Hamlet,1374.3324191256718
I. Praporshchikov,1373.5830656543512
Takefuni Hanai,1371.9210989383253
Miodrag Petkovic,1371.7840918217448
Paul Ardila-Ibarra,1370.151285453474
Jessica Flowers,1369.2658779688345
David Bielkheden,1367.8489718418164
Mike Martelle,1367.7535162349177
J. Pietlainen,1366.2285841455405
Tetsu Suzuko,1365.8666253280094
Eddie Sanchez,1365.8666253280094
Fabio Gurgel,1364.7358611444042
Keller Sodhi,1364.6397579059312
Yukiyasu Ozawa,1364.3277254135764
Bruno Chavez,1364.236883471524
Timo-Juhani,1364.138360715182
Tammy Griego,1363.8222480579548
Reese Andy,1362.226765303543
T. Pyylampi,1361.8979835118867
John Salter,1361.8979835118867
Take Hanai,1361.5108176752174
Hidemi Mihara,1361.0983219680909
K. Toida,1361.0430004651107
Rogent Lorent,1359.1790694012764
Joe Guilbert,1358.789522424701
Talita Alencar,1358.789522424701
Don Ortega,1358.6904042044232
Sekine Hideki,1358.4700720175906
Justin Garcia,1358.1778143997187
Andy Wang,1356.8564390622666
Y. Yatso,1356.4994542252628
Davion Peterson,1355.1431489054194
Thomas DeBlass,1353.3380050154833
Abdulaev Ruslan,1352.9888973816671
Elvis Sinosic,1352.794527839144
Mario Rinaldi,1352.794527839144
Yoshiyuki Yoshida,1351.6682029656324
Daniel Hortegas,1351.4302952601363
Tom Lawlor,1350.6027972694205
Shinzo Ansai,1348.8909696172884
Antonio Braga Neto,1347.1908429669022
Tamura,1345.5564511798402
Darrel Moodley,1344.7072472109069
F. Vasconcelos,1342.5968435818718
M. Szczecinski,1340.8594077745174
Leonardo Saggioro,1340.061075698618
Alison Tremblay,1338.2949039221855
Muhammad Saleh,1337.6891050238826
Akira Shouji,1337.6891050238826
F. Capoane,1337.6891050238826
Akihiro Gono,1337.6891050238826
Karl Webber,1337.6891050238826
Manu Garcia,1337.6891050238826
Rumina Sato,1337.6891050238826
Travis Lutter,1337.6891050238826
Ryan Gracie,1337.6891050238826
Erik Paulson,1337.6891050238826
T. Kosaka,1337.6891050238826
Akira Shoji,1337.6891050238826
Marko Helen,1337.6891050238826
