Fighter,Peak Elo
Marcelo Garcia,1331.11
Gordon Ryan,1293.74
Andre Galvao,1289.14
Vinicius Magalhaes,1266.23
Alexandre Ribeiro,1263.12
Marcus Almeida,1255.27
Leonardo Vieira,1249.54
Royler Gracie,1246.84
Rubens Charles,1244.1
Yuri Simoes,1235.69
Roger Gracie,1235.55
Fabricio Werdum,1233.49
Dean Lister,1229.6
Saulo Ribeiro,1224.1
Ricardo Arona,1222.67
Felipe Pena,1216.96
Marcio Cruz,1213.54
Alexandre de Freitas,1213.13
Pablo Popovitch,1212.59
Rafael Mendes,1207.22
Roberto Abreu,1201.78
Gabrielle Garcia,1199.5
Braulio Estima,1195.66
Keenan Cornelius,1183.07
Ricco Rodriguez,1174.94
Rafael Lovato Jr,1174.55
Ronaldo Souza,1173.84
Renzo Gracie,1173.58
Rany Yahya,1173.06
Joao Assis,1168.54
Jean Jacques Machado,1166.39
Ricardo Almeida,1152.92
Vagner Rocha,1152.83
Jonathan Torres,1152.08
Jose Mario Sperry,1145.58
Demian Maia,1137.59
Augusto Mendes,1136.57
Kaynan Duarte,1136.21
Kron Gracie,1132.46
Rodolfo Vieira,1130.43
Jared Dopp,1124.89
Baret Yoshida,1119.21
Marcio Feitosa,1117.23
Jeff Glover,1115.35
Rodrigo Gracie,1111.78
Joao Gabriel Rocha,1110.43
Orlando Sanchez,1108.21
Lucas Lepri,1103.76
Giancarlo Bodoni,1103.28
Jeff Monson,1102.16
Nick Rodriguez,1100.54
Nicholas Meregali,1094.83
Craig Jones,1093.98
Ricardo Liborio,1093.3
A. Cacareco,1092.38
Davi Ramos,1092.14
Lucas Daniel Barbosa,1090.19
Kade Ruotolo,1089.28
Romulo Barral,1086.55
Vitor Ribeiro,1084.11
Mark Kerr,1082.67
Bianca Basilio,1081.71
Ffion Davies,1081.63
Rousimar Palhares,1079.68
Roberto Traven,1079.58
Josh Hinger,1079.33
Claudio Calasans,1079.21
Paulo Miyao,1079.11
Tarsis Humpreys,1076.98
Diogo Reis,1075.89
